Dátum,"Negyedéves GDP (előző negyedév=100,0%)",Halmozott GDP
2015-01-01,101.6,1.016
2015-04-01,100.1,1.017
2015-07-01,100.8,1.025
2015-10-01,101.1,1.036
2016-01-01,99.8,1.034
2016-04-01,101.2,1.047
2016-07-01,100.5,1.052
2016-10-01,100.9,1.061
2017-01-01,101.2,1.074
2017-04-01,101.2,1.087
2017-07-01,100.9,1.097
2017-10-01,101.5,1.113
2018-01-01,101.9,1.134
2018-04-01,100.9,1.145
2018-07-01,101.5,1.162
2018-10-01,101.1,1.175
2019-01-01,102.1,1.199
2019-04-01,100.3,1.203
2019-07-01,101.4,1.220
2019-10-01,100.7,1.228