20.2.1.2. A 15–74 éves népesség gazdasági aktivitása nemenként, havonta;;;;;;;;;
;november;2 394,9;104,0;2 498,9;1 131,2;3 630,1;68,8;4,2;66,0
;december;2 380,7;104,4;2 485,1;1 144,0;3 629,0;68,5;4,2;65,6
2017.;január;2 383,3;110,6;2 494,0;1 133,4;3 627,4;68,8;4,4;65,7
;február;2 367,3;111,8;2 479,1;1 141,4;3 620,5;68,5;4,5;65,4
;március;2 378,4;111,7;2 490,1;1 130,6;3 620,7;68,8;4,5;65,7
;április;2 392,1;109,8;2 501,9;1 114,9;3 616,8;69,2;4,4;66,1
;május;2 413,3;101,0;2 514,3;1 099,2;3 613,5;69,6;4,0;66,8
;június;2 435,2;96,8;2 532,0;1 080,1;3 612,1;70,1;3,8;67,4
;július;2 440,3;94,1;2 534,3;1 076,1;3 610,4;70,2;3,7;67,6
;augusztus;2 432,5;90,1;2 522,7;1 086,4;3 609,0;69,9;3,6;67,4
;szeptember;2 437,3;90,0;2 527,3;1 080,0;3 607,3;70,1;3,6;67,6
;október;2 434,6;85,8;2 520,4;1 085,5;3 605,9;69,9;3,4;67,5
;november;2 437,3;84,8;2 522,1;1 082,2;3 604,3;70,0;3,4;67,6
;december;2 434,4;83,9;2 518,3;1 084,3;3 602,6;69,9;3,3;67,6
2018.;január;2 419,5;89,4;2 508,9;1 096,8;3 605,7;69,6;3,6;67,1
;február;2 429,8;94,2;2 523,9;1 081,6;3 605,5;70,0;3,7;67,4
;március;2 431,7;92,4;2 524,1;1 081,2;3 605,3;70,0;3,7;67,4
;április;2 453,7;86,1;2 539,9;1 065,3;3 605,1;70,5;3,4;68,1
;május;2 449,9;81,2;2 531,1;1 073,8;3 604,9;70,2;3,2;68,0
;június;2 464,0;79,7;2 543,7;1 061,1;3 604,8;70,6;3,1;68,4
;július;2 461,2;84,8;2 546,0;1 058,6;3 604,6;70,6;3,3;68,3
;augusztus;2 475,5;82,5;2 558,0;1 046,3;3 604,3;71,0;3,2;68,7
;szeptember;2 462,6;82,9;2 545,4;1 058,7;3 604,1;70,6;3,3;68,3
;október;2 478,1;81,5;2 559,7;1 044,3;3 604,0;71,0;3,2;68,8
;november;2 468,2;83,8;2 551,9;1 051,8;3 603,8;70,8;3,3;68,5
;december;2 466,0;84,0;2 550,0;1 053,5;3 603,6;70,8;3,3;68,4
2019.;január;2 450,1;87,6;2 537,7;1 065,7;3 603,4;70,4;3,5;68,0
;február;2 481,0;91,2;2 572,2;1 030,8;3 603,0;71,4;3,5;68,9
;március;2 480,4;90,4;2 570,8;1 031,8;3 602,6;71,4;3,5;68,8
;április;2 466,0;87,9;2 553,9;1 048,3;3 602,3;70,9;3,4;68,5
;május;2 473,0;84,4;2 557,4;1 044,5;3 601,9;71,0;3,3;68,7
;június;2 483,2;81,7;2 564,9;1 036,6;3 601,5;71,2;3,2;69,0
;július;2 498,1;80,8;2 579,0;1 022,2;3 601,1;71,6;3,1;69,4
;augusztus;2 491,2;79,7;2 570,9;1 029,9;3 600,8;71,4;3,1;69,2
;szeptember;2 483,5;79,4;2 562,9;1 037,4;3 600,3;71,2;3,1;69,0
;október;2 491,4;77,4;2 568,8;1 031,2;3 600,0;71,4;3,0;69,2
;november;2 492,9;77,3;2 570,2;1 029,4;3 599,6;71,4;3,0;69,3
;december;2 482,7;75,3;2 558,1;1 041,2;3 599,2;71,1;2,9;69,0
2020.;január;2 429,4;81,6;2 511,0;1 087,9;3 598,9;69,8;3,2;67,5
;február;2 463,6;86,4;2 550,0;1 047,5;3 597,5;70,9;3,4;68,5
;március;2 472,3;89,7;2 562,0;1 034,0;3 596,1;71,2;3,5;68,8
;április;2 387,0;106,1;2 493,1;1 101,7;3 594,7;69,4;4,3;66,4
;május;2 401,3;117,6;2 518,8;1 074,5;3 593,3;70,1;4,7;66,8
;június;2 451,7;122,3;2 574,0;1 017,9;3 591,9;71,7;4,8;68,3
;július;2 465,4;112,8;2 578,1;1 012,4;3 590,5;71,8;4,4;68,7
;augusztus;2 467,5;109,1;2 576,6;1 012,6;3 589,1;71,8;4,2;68,7
;szeptember;2 464,1;109,9;2 573,9;1 013,8;3 587,7;71,7;4,3;68,7
;október;2 466,1;106,7;2 572,9;1 013,5;3 586,3;71,7;4,1;68,8
;november;2 476,5;105,9;2 582,4;1 002,5;3 585,0;72,0;4,1;69,1
;december;2 451,3;105,3;2 556,6;1 026,9;3 583,5;71,3;4,1;68,4
2021.;január;2 428,9;107,8;2 536,7;1 045,4;3 582,1;70,8;4,3;67,8
;február;2 439,5;108,7;2 548,2;1 032,6;3 580,8;71,2;4,3;68,1
;március;2 459,2;106,5;2 565,7;1 013,7;3 579,4;71,7;4,2;68,7
;április;2 443,4;105,3;2 548,7;1 029,3;3 577,9;71,2;4,1;68,3
;május;2 464,6;102,4;2 567,1;1 009,5;3 576,6;71,8;4,0;68,9
;június;2 488,3;102,3;2 590,6;984,6;3 575,1;72,5;3,9;69,6
;július;2 493,1;101,3;2 594,4;979,4;3 573,8;72,6;3,9;69,8
;augusztus;2 482,6;98,7;2 581,2;991,2;3 572,4;72,3;3,8;69,5
;szeptember;2 486,4;95,6;2 582,1;988,9;3 571,0;72,3;3,7;69,6
;október;2 497,7;94,5;2 592,2;977,4;3 569,6;72,6;3,6;70,0
;november;2 484,5;95,2;2 579,8;988,4;3 568,2;72,3;3,7;69,6
;december;2 485,0;96,5;2 581,4;985,3;3 566,8;72,4;3,7;69,7
2022.;január;2 474,9;95,5;2 570,4;995,0;3 565,4;72,1;3,7;69,4
;február;2 480,8;96,9;2 577,7;986,8;3 564,5;72,3;3,8;69,6
;március;2 488,1;97,2;2 585,3;978,3;3 563,6;72,5;3,8;69,8
;április;2 481,3;95,2;2 576,5;986,4;3 562,8;72,3;3,7;69,6
;május;2 487,5;93,3;2 580,8;981,1;3 562,0;72,5;3,6;69,8
;június;2 503,5;93,3;2 596,8;964,3;3 561,1;72,9;3,6;70,3
;július;2 503,0;94,7;2 597,7;962,6;3 560,2;73,0;3,6;70,3
;augusztus;2 483,3;95,3;2 578,6;980,7;3 559,4;72,4;3,7;69,8
;szeptember;2 516,5;97,5;2 614,0;944,5;3 558,5;73,5;3,7;70,7
;október;2 499,2;98,3;2 597,6;960,1;3 557,7;73,0;3,8;70,2
;november;2 499,0;100,2;2 599,2;960,3;3 559,4;73,0;3,9;70,2
;december;2 491,6;100,8;2 592,4;968,8;3 561,2;72,8;3,9;70,0
2023.;január;2 480,9;105,1;2 586,0;977,0;3 563,0;72,6;4,1;69,6
;február;2 489,1;106,5;2 595,6;966,6;3 562,2;72,9;4,1;69,9
;március;2 501,5;106,1;2 607,6;953,8;3 561,4;73,2;4,1;70,2
;április;2 498,7;105,1;2 603,8;956,7;3 560,5;73,1;4,0;70,2
;május;2 503,6;104,3;2 607,8;952,1;3 559,9;73,3;4,0;70,3
;június;2 520,5;103,4;2 623,9;935,6;3 559,5;73,7;3,9;70,8
;július;2 527,9;104,3;2 632,2;926,9;3 559,1;74,0;4,0;71,0
;augusztus;2 517,0;105,6;2 622,6;936,2;3 558,7;73,7;4,0;70,7
;szeptember;2 521,0;107,5;2 628,5;929,9;3 558,4;73,9;4,1;70,8
;október;2 510,8;108,9;2 619,7;938,5;3 558,1;73,6;4,2;70,6
;november;2 503,7;110,5;2 614,2;943,4;3 557,6;73,5;4,2;70,4
;december;2 499,3;112,6;2 611,9;945,2;3 557,1;73,4;4,3;70,3
2024.;január;2 463,0;117,5;2 580,5;975,5;3 556,1;72,6;4,6;69,3
;február;2 487,3;118,5;2 605,8;949,1;3 554,9;73,3;4,5;70,0
;március;2 493,3;117,7;2 611,0;943,1;3 554,0;73,5;4,5;70,2
;április;2 497,5;116,6;2 614,1;939,2;3 553,3;73,6;4,5;70,3
;május;2 493,7;113,9;2 607,6;945,0;3 552,7;73,4;4,4;70,2
;június;2 505,2;112,4;2 617,7;934,7;3 552,4;73,7;4,3;70,5
;július;2 508,3;113,6;2 621,9;929,9;3 551,8;73,8;4,3;70,6
;augusztus;2 492,8;114,8;2 607,5;943,5;3 551,0;73,4;4,4;70,2
;szeptember;2 485,4;116,3;2 601,8;948,7;3 550,5;73,3;4,5;70,0
;október;2 492,7;114,6;2 607,3;942,5;3 549,8;73,4;4,4;70,2
;november;2 483,0;115,7;2 598,7;950,6;3 549,3;73,2;4,5;70,0
;december;2 468,4;112,0;2 580,4;968,2;3 548,6;72,7;4,3;69,6
2025.;január;2 488,7;117,3;2 606,0;941,7;3 547,7;73,5;4,5;70,2
;február;2 486,8;118,6;2 605,4;927,9;3 533,3;73,7;4,6;70,4
;március;2 497,1;113,9;2 611,0;920,0;3 531,0;73,9;4,4;70,7
;április;2 476,7;117,4;2 594,1;934,7;3 528,9;73,5;4,5;70,2
;május;;;;;;;;
;június;;;;;;;;
;július;;;;;;;;
;augusztus;;;;;;;;
;szeptember;;;;;;;;
;október;;;;;;;;
;november;;;;;;;;
;december;;;;;;;;
Nõ;;;;;;;;;
2009.;január;1 849,3;167,5;2 016,9;1 987,6;4 004,4;50,4;8,3;46,2
;február;1 864,4;179,0;2 043,4;1 960,2;4 003,6;51,0;8,8;46,6
;március;1 874,0;188,1;2 062,1;1 940,6;4 002,7;51,5;9,1;46,8
;április;1 843,4;180,4;2 023,9;1 978,0;4 001,8;50,6;8,9;46,1
;május;1 885,8;169,4;2 055,1;1 945,8;4 000,9;51,4;8,2;47,1
;június;1 880,9;179,3;2 060,2;1 939,8;4 000,0;51,5;8,7;47,0
;július;1 877,0;186,9;2 063,9;1 935,2;3 999,1;51,6;9,1;46,9
;augusztus;1 872,6;192,5;2 065,2;1 933,1;3 998,2;51,7;9,3;46,8
;szeptember;1 861,8;197,4;2 059,3;1 938,0;3 997,3;51,5;9,6;46,6
;október;1 880,3;187,4;2 067,7;1 928,7;3 996,4;51,7;9,1;47,1
;november;1 860,3;201,4;2 061,7;1 933,8;3 995,5;51,6;9,8;46,6
;december;1 871,8;197,9;2 069,7;1 924,9;3 994,6;51,8;9,6;46,9
2010.;január;1 845,8;207,9;2 053,7;1 940,0;3 993,7;51,4;10,1;46,2
;február;1 878,0;210,8;2 088,8;1 904,0;3 992,8;52,3;10,1;47,0
;március;1 880,0;213,9;2 094,0;1 897,9;3 991,9;52,5;10,2;47,1
;április;1 856,8;205,6;2 062,4;1 928,5;3 990,9;51,7;10,0;46,5
;május;1 878,6;208,2;2 086,8;1 903,3;3 990,1;52,3;10,0;47,1
;június;1 905,3;197,0;2 102,3;1 886,9;3 989,2;52,7;9,4;47,8
;július;1 864,7;207,1;2 071,9;1 916,5;3 988,3;51,9;10,0;46,8
;augusztus;1 871,7;214,7;2 086,4;1 901,0;3 987,4;52,3;10,3;46,9
;szeptember;1 925,0;205,2;2 130,2;1 856,3;3 986,5;53,4;9,6;48,3
;október;1 893,6;195,5;2 089,1;1 896,5;3 985,6;52,4;9,4;47,5
;november;1 867,4;218,9;2 086,3;1 898,5;3 984,7;52,4;10,5;46,9
;december;1 891,2;203,3;2 094,5;1 889,4;3 983,9;52,6;9,7;47,5
2011.;január;1 847,2;219,7;2 066,9;1 916,0;3 983,0;51,9;10,6;46,4
;február;1 835,2;222,3;2 057,5;1 924,6;3 982,0;51,7;10,8;46,1
;március;1 864,2;214,2;2 078,3;1 902,8;3 981,2;52,2;10,3;46,8
;április;1 861,1;210,8;2 071,9;1 908,3;3 980,2;52,1;10,2;46,8
;május;1 867,6;208,0;2 075,6;1 903,7;3 979,4;52,2;10,0;46,9
;június;1 881,7;208,4;2 090,1;1 888,4;3 978,5;52,5;10,0;47,3
;július;1 883,3;211,8;2 095,1;1 882,4;3 977,5;52,7;10,1;47,3
;augusztus;1 879,2;214,3;2 093,4;1 883,3;3 976,7;52,6;10,2;47,3
;szeptember;1 892,7;212,8;2 105,5;1 870,2;3 975,7;53,0;10,1;47,6
;október;1 905,7;211,8;2 117,5;1 857,4;3 974,8;53,3;10,0;47,9
;november;1 890,3;207,5;2 097,9;1 873,7;3 971,6;52,8;9,9;47,6
;december;1 876,0;213,0;2 089,0;1 879,7;3 968,7;52,6;10,2;47,3
2012.;január;1 857,6;221,7;2 079,2;1 886,8;3 966,1;52,4;10,7;46,8
;február;1 863,3;225,1;2 088,4;1 876,4;3 964,7;52,7;10,8;47,0
;március;1 877,6;227,8;2 105,5;1 858,0;3 963,5;53,1;10,8;47,4
;április;1 887,3;216,2;2 103,5;1 858,5;3 962,0;53,1;10,3;47,6
;május;1 913,1;204,4;2 117,5;1 843,3;3 960,9;53,5;9,7;48,3
;június;1 919,2;200,9;2 120,1;1 839,7;3 959,8;53,5;9,5;48,5
;július;1 930,0;204,5;2 134,4;1 824,3;3 958,7;53,9;9,6;48,8
;augusztus;1 930,4;205,2;2 135,6;1 822,0;3 957,6;54,0;9,6;48,8
;szeptember;1 943,4;205,7;2 149,2;1 807,4;3 956,6;54,3;9,6;49,1
;október;1 931,7;206,0;2 137,7;1 817,8;3 955,6;54,0;9,6;48,8
;november;1 913,8;207,6;2 121,4;1 833,2;3 954,6;53,6;9,8;48,4
;december;1 903,4;208,5;2 112,0;1 841,6;3 953,5;53,4;9,9;48,1
2013.;január;1 885,4;214,8;2 100,1;1 852,1;3 952,2;53,1;10,2;47,7
;február;1 879,1;211,5;2 090,7;1 859,6;3 950,2;52,9;10,1;47,6
;március;1 910,1;207,1;2 117,2;1 831,2;3 948,4;53,6;9,8;48,4
;április;1 926,2;201,3;2 127,5;1 818,8;3 946,3;53,9;9,5;48,8
;május;1 928,2;196,1;2 124,3;1 820,1;3 944,5;53,9;9,2;48,9
;június;1 938,4;195,2;2 133,5;1 809,2;3 942,8;54,1;9,1;49,2
;július;1 941,1;198,8;2 140,0;1 801,0;3 941,0;54,3;9,3;49,3
;augusztus;1 941,3;198,0;2 139,3;1 800,0;3 939,3;54,3;9,3;49,3
;szeptember;1 944,1;190,2;2 134,3;1 803,3;3 937,6;54,2;8,9;49,4
;október;1 949,0;193,6;2 142,6;1 793,3;3 935,9;54,4;9,0;49,5
;november;1 960,8;178,6;2 139,4;1 794,7;3 934,1;54,4;8,3;49,8
;december;1 964,7;164,1;2 128,8;1 803,5;3 932,4;54,1;7,7;50,0
2014.;január;1 968,8;168,6;2 137,4;1 793,0;3 930,5;54,4;7,9;50,1
;február;1 974,2;167,5;2 141,7;1 786,4;3 928,1;54,5;7,8;50,3
;március;1 988,7;164,6;2 153,3;1 772,9;3 926,2;54,8;7,6;50,7
;április;2 003,4;157,0;2 160,5;1 763,7;3 924,1;55,1;7,3;51,1
;május;1 968,0;163,3;2 131,3;1 790,8;3 922,2;54,3;7,7;50,2
;június;2 000,3;170,9;2 171,2;1 748,9;3 920,2;55,4;7,9;51,0
;július;2 018,9;161,4;2 180,4;1 738,0;3 918,4;55,6;7,4;51,5
;augusztus;2 011,0;157,5;2 168,5;1 748,1;3 916,6;55,4;7,3;51,3
;szeptember;2 024,4;148,2;2 172,6;1 742,1;3 914,7;55,5;6,8;51,7
;október;2 029,1;148,4;2 177,4;1 735,3;3 912,7;55,7;6,8;51,9
;november;2 019,2;155,1;2 174,2;1 736,4;3 910,7;55,6;7,1;51,6
;december;2 027,9;144,1;2 172,0;1 736,7;3 908,7;55,6;6,6;51,9
2015.;január;2 005,6;154,5;2 160,0;1 746,6;3 906,6;55,3;7,2;51,3
;február;2 010,6;158,6;2 169,2;1 734,4;3 903,6;55,6;7,3;51,5
;március;2 025,6;157,1;2 182,7;1 718,7;3 901,4;55,9;7,2;51,9
;április;2 039,0;151,9;2 190,9;1 708,1;3 899,0;56,2;6,9;52,3
;május;2 045,1;144,2;2 189,3;1 707,6;3 896,9;56,2;6,6;52,5
;június;2 055,6;144,0;2 199,6;1 699,2;3 898,8;56,4;6,5;52,7
;július;2 063,3;145,0;2 208,4;1 688,6;3 897,0;56,7;6,6;52,9
;augusztus;2 073,6;135,8;2 209,4;1 685,8;3 895,2;56,7;6,1;53,2
;szeptember;2 071,9;134,5;2 206,4;1 686,8;3 893,2;56,7;6,1;53,2
;október;2 078,2;130,0;2 208,1;1 683,3;3 891,4;56,7;5,9;53,4
;november;2 070,2;135,1;2 205,3;1 684,1;3 889,4;56,7;6,1;53,2
;december;2 071,5;125,0;2 196,6;1 691,0;3 887,5;56,5;5,7;53,3
2016.;január;2 057,1;128,0;2 185,1;1 700,4;3 885,5;56,2;5,9;52,9
;február;2 070,6;128,6;2 199,1;1 681,7;3 880,9;56,7;5,8;53,4
;március;2 081,2;126,8;2 208,0;1 670,8;3 878,8;56,9;5,7;53,7
;április;2 098,3;118,7;2 217,0;1 659,7;3 876,7;57,2;5,4;54,1
;május;2 116,8;104,7;2 221,6;1 653,1;3 874,7;57,3;4,7;54,6
;június;2 136,5;99,6;2 236,1;1 641,6;3 877,7;57,7;4,5;55,1
;július;2 137,4;104,3;2 241,7;1 634,5;3 876,2;57,8;4,7;55,1
;augusztus;2 135,5;101,9;2 237,5;1 637,2;3 874,6;57,7;4,6;55,1
;szeptember;2 134,4;100,5;2 234,9;1 638,0;3 872,9;57,7;4,5;55,1
;október;2 148,1;97,7;2 245,9;1 625,4;3 871,3;58,0;4,4;55,5
;november;2 143,4;92,0;2 235,4;1 634,2;3 869,6;57,8;4,1;55,4
;december;2 138,1;89,2;2 227,3;1 640,5;3 867,8;57,6;4,0;55,3
2017.;január;2 133,6;92,8;2 226,5;1 639,3;3 865,8;57,6;4,2;55,2
;február;2 107,8;97,0;2 204,8;1 654,7;3 859,5;57,1;4,4;54,6
;március;2 117,0;103,1;2 220,2;1 638,1;3 858,3;57,5;4,6;54,9
;április;2 125,2;104,7;2 229,9;1 624,4;3 854,3;57,9;4,7;55,1
;május;2 121,2;96,0;2 217,2;1 633,0;3 850,2;57,6;4,3;55,1
;június;2 129,4;95,7;2 225,1;1 623,1;3 848,2;57,8;4,3;55,3
;július;2 133,0;95,8;2 228,8;1 616,8;3 845,6;58,0;4,3;55,5
;augusztus;2 141,4;95,0;2 236,4;1 606,8;3 843,2;58,2;4,2;55,7
;szeptember;2 145,1;92,9;2 238,0;1 602,7;3 840,7;58,3;4,2;55,9
;október;2 146,4;89,4;2 235,8;1 602,6;3 838,3;58,2;4,0;55,9
;november;2 140,1;87,5;2 227,7;1 608,7;3 836,3;58,1;3,9;55,8
;december;2 143,9;84,5;2 228,4;1 605,0;3 833,4;58,1;3,8;55,9
2018.;január;2 120,3;85,9;2 206,2;1 592,7;3 798,9;58,1;3,9;55,8
;február;2 121,9;90,0;2 211,9;1 585,3;3 797,2;58,3;4,1;55,9
;március;2 120,3;88,2;2 208,5;1 587,2;3 795,6;58,2;4,0;55,9
;április;2 139,5;80,7;2 220,1;1 573,9;3 794,0;58,5;3,6;56,4
;május;2 146,8;74,6;2 221,4;1 571,0;3 792,4;58,6;3,4;56,6
;június;2 154,7;74,6;2 229,3;1 561,4;3 790,7;58,8;3,3;56,8
;július;2 143,7;86,4;2 230,0;1 559,1;3 789,2;58,9;3,9;56,6
;augusztus;2 154,1;84,2;2 238,2;1 549,3;3 787,5;59,1;3,8;56,9
;szeptember;2 141,5;83,4;2 224,9;1 561,0;3 785,9;58,8;3,7;56,6
;október;2 153,8;77,9;2 231,7;1 552,6;3 784,3;59,0;3,5;56,9
;november;2 148,3;75,2;2 223,5;1 559,1;3 782,7;58,8;3,4;56,8
;december;2 141,4;71,6;2 213,1;1 567,9;3 781,0;58,5;3,2;56,6
2019.;január;2 132,8;74,3;2 207,2;1 572,2;3 779,4;58,4;3,4;56,4
;február;2 137,8;77,9;2 215,7;1 562,0;3 777,6;58,7;3,5;56,6
;március;2 131,3;79,9;2 211,2;1 564,5;3 775,8;58,6;3,6;56,4
;április;2 133,2;74,6;2 207,8;1 566,1;3 774,0;58,5;3,4;56,5
;május;2 148,4;71,7;2 220,1;1 552,1;3 772,2;58,9;3,2;57,0
;június;2 147,3;71,5;2 218,9;1 551,5;3 770,4;58,9;3,2;57,0
;július;2 145,9;74,6;2 220,5;1 548,1;3 768,6;58,9;3,4;56,9
;augusztus;2 148,3;74,3;2 222,7;1 544,2;3 766,8;59,0;3,3;57,0
;szeptember;2 145,1;75,0;2 220,2;1 544,8;3 765,0;59,0;3,4;57,0
;október;2 146,8;71,7;2 218,5;1 544,7;3 763,2;59,0;3,2;57,0
;november;2 140,7;70,0;2 210,7;1 550,7;3 761,4;58,8;3,2;56,9
;december;2 146,2;64,7;2 210,9;1 548,7;3 759,6;58,8;2,9;57,1
2020.;január;2 108,6;70,5;2 179,1;1 578,7;3 757,8;58,0;3,2;56,1
;február;2 139,1;74,0;2 213,1;1 543,1;3 756,1;58,9;3,3;56,9
;március;2 129,6;76,5;2 206,1;1 548,4;3 754,5;58,8;3,5;56,7
;április;2 047,1;92,0;2 139,1;1 613,7;3 752,8;57,0;4,3;54,5
;május;2 070,6;104,1;2 174,6;1 576,5;3 751,1;58,0;4,8;55,2
;június;2 113,9;111,7;2 225,6;1 523,9;3 749,5;59,4;5,0;56,4
;július;2 121,2;101,6;2 222,8;1 525,0;3 747,8;59,3;4,6;56,6
;augusztus;2 121,1;97,9;2 219,0;1 527,1;3 746,1;59,2;4,4;56,6
;szeptember;2 117,2;93,6;2 210,8;1 533,6;3 744,4;59,0;4,2;56,5
;október;2 117,1;91,3;2 208,4;1 534,3;3 742,7;59,0;4,1;56,6
;november;2 114,4;92,8;2 207,2;1 533,8;3 741,0;59,0;4,2;56,5
;december;2 097,5;95,0;2 192,6;1 546,8;3 739,3;58,6;4,3;56,1
2021.;január;2 075,4;101,0;2 176,3;1 561,4;3 737,7;58,2;4,6;55,5
;február;2 093,9;101,2;2 195,1;1 541,1;3 736,2;58,8;4,6;56,0
;március;2 092,7;101,1;2 193,8;1 540,9;3 734,7;58,7;4,6;56,0
;április;2 107,0;95,1;2 202,0;1 531,2;3 733,3;59,0;4,3;56,4
;május;2 123,5;92,4;2 215,9;1 515,9;3 731,8;59,4;4,2;56,9
;június;2 156,5;91,7;2 248,2;1 482,1;3 730,3;60,3;4,1;57,8
;július;2 159,1;91,5;2 250,6;1 478,2;3 728,9;60,4;4,1;57,9
;augusztus;2 157,9;90,9;2 248,8;1 478,6;3 727,4;60,3;4,0;57,9
;szeptember;2 165,6;89,6;2 255,2;1 470,7;3 725,9;60,5;4,0;58,1
;október;2 170,9;89,2;2 260,1;1 464,3;3 724,5;60,7;3,9;58,3
;november;2 181,1;87,9;2 269,0;1 454,0;3 723,0;60,9;3,9;58,6
;december;2 169,2;86,7;2 255,9;1 465,6;3 721,5;60,6;3,8;58,3
2022.;január;2 153,5;82,5;2 236,0;1 484,1;3 720,0;60,1;3,7;57,9
;február;2 158,9;81,9;2 240,8;1 478,2;3 719,0;60,3;3,7;58,0
;március;2 173,8;80,5;2 254,2;1 463,7;3 718,0;60,6;3,6;58,5
;április;2 172,9;77,4;2 250,3;1 466,8;3 717,1;60,5;3,4;58,5
;május;2 173,0;76,1;2 249,1;1 466,9;3 716,0;60,5;3,4;58,5
;június;2 183,1;76,2;2 259,3;1 455,7;3 715,0;60,8;3,4;58,8
;július;2 180,8;78,6;2 259,4;1 454,7;3 714,1;60,8;3,5;58,7
;augusztus;2 185,7;80,6;2 266,3;1 446,8;3 713,1;61,0;3,6;58,9
;szeptember;2 192,6;84,8;2 277,4;1 434,7;3 712,1;61,4;3,7;59,1
;október;2 188,8;85,6;2 274,4;1 436,7;3 711,1;61,3;3,8;59,0
;november;2 194,6;86,9;2 281,5;1 427,4;3 708,9;61,5;3,8;59,2
;december;2 189,8;85,4;2 275,3;1 431,4;3 706,7;61,4;3,8;59,1
2023.;január;2 176,4;90,9;2 267,3;1 437,3;3 704,6;61,2;4,0;58,7
;február;2 168,6;91,8;2 260,4;1 442,2;3 702,6;61,0;4,1;58,6
;március;2 177,3;91,8;2 269,0;1 431,7;3 700,7;61,3;4,0;58,8
;április;2 178,2;89,6;2 267,8;1 430,9;3 698,7;61,3;4,0;58,9
;május;2 188,6;88,9;2 277,5;1 419,5;3 696,9;61,6;3,9;59,2
;június;2 195,1;89,7;2 284,9;1 410,4;3 695,2;61,8;3,9;59,4
;július;2 185,4;92,5;2 277,9;1 415,7;3 693,6;61,7;4,1;59,2
;augusztus;2 183,1;94,5;2 277,6;1 414,2;3 691,9;61,7;4,1;59,1
;szeptember;2 209,8;95,0;2 304,9;1 385,4;3 690,2;62,5;4,1;59,9
;október;2 214,3;96,4;2 310,7;1 377,9;3 688,6;62,6;4,2;60,0
;november;2 208,0;97,2;2 305,2;1 381,6;3 686,8;62,5;4,2;59,9
;december;2 195,3;97,6;2 292,8;1 392,2;3 685,0;62,2;4,3;59,6
2024.;január;2 189,1;99,2;2 288,2;1 394,7;3 682,9;62,1;4,3;59,4
;február;2 197,0;99,6;2 296,6;1 384,1;3 680,7;62,4;4,3;59,7
;március;2 217,2;98,7;2 315,9;1 362,7;3 678,6;63,0;4,3;60,3
;április;2 203,2;97,6;2 300,8;1 375,8;3 676,6;62,6;4,2;59,9
;május;2 206,7;97,3;2 304,0;1 370,6;3 674,6;62,7;4,2;60,1
;június;2 219,1;97,2;2 316,3;1 356,1;3 672,5;63,1;4,2;60,4
;július;2 217,7;98,7;2 316,4;1 354,3;3 670,7;63,1;4,3;60,4
;augusztus;2 220,1;100,1;2 320,1;1 348,7;3 668,8;63,2;4,3;60,5
;szeptember;2 213,1;103,4;2 316,6;1 350,2;3 666,7;63,2;4,5;60,4
;október;2 205,8;104,7;2 310,5;1 354,3;3 664,9;63,0;4,5;60,2
;november;2 196,0;105,5;2 301,5;1 361,3;3 662,9;62,8;4,6;60,0
;december;2 209,8;98,1;2 307,9;1 352,8;3 660,8;63,0;4,3;60,4
2025.;január;2 195,7;96,8;2 292,4;1 366,2;3 658,6;62,7;4,2;60,0
;február;2 195,5;101,2;2 296,8;1 349,6;3 646,4;63,0;4,4;60,2
;március;2 203,9;97,3;2 301,2;1 342,0;3 643,2;63,2;4,2;60,5
;április;2 189,8;97,5;2 287,3;1 352,7;3 640,0;62,8;4,3;60,2
;május;;;;;;;;
;június;;;;;;;;
;július;;;;;;;;
;augusztus;;;;;;;;
;szeptember;;;;;;;;
;október;;;;;;;;
;november;;;;;;;;
;december;;;;;;;;
